w_grid_size,h_grid_size,s_learn_rate,f_learn_rate,initial_neighbour_size,neigbour_range_decay,random_seed,iterations,distribution_type,metric_type,graph_type,score,
5,5,0.200000,0.200000,10.000000,2.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.427847,
5,5,0.200000,0.200000,10.000000,2.000000,0,5000,normal_distribution,Euclidian,Grid6,0.478370,
5,5,0.200000,0.200000,10.000000,2.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.474603,
5,5,0.200000,0.200000,10.000000,2.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.461666,
5,5,0.200000,0.200000,10.000000,2.000000,0,10000,normal_distribution,Euclidian,Grid6,0.452569,
5,5,0.200000,0.200000,10.000000,3.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.796051,
5,5,0.200000,0.200000,10.000000,2.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.435761,
5,5,0.200000,0.200000,10.000000,3.000000,0,100,normal_distribution,Euclidian,Grid6,0.755541,
5,5,0.200000,0.200000,10.000000,3.000000,0,100,exponential_distribution,Euclidian,Grid6,0.683448,
5,5,0.200000,0.200000,10.000000,3.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.484182,
5,5,0.200000,0.200000,10.000000,3.000000,0,1000,normal_distribution,Euclidian,Grid6,0.491896,
5,5,0.200000,0.200000,10.000000,3.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.482865,
5,5,0.200000,0.200000,10.000000,3.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.461790,
5,5,0.200000,0.200000,10.000000,3.000000,0,5000,normal_distribution,Euclidian,Grid6,0.430256,
5,5,0.200000,0.200000,10.000000,3.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.452027,
5,5,0.200000,0.200000,10.000000,3.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.428715,
5,5,0.200000,0.200000,10.000000,3.000000,0,10000,normal_distribution,Euclidian,Grid6,0.419521,
